timestamp,Infrared to Red Signal Ratio
05/27/21 00:01:31,74
05/27/21 00:02:31,-7
05/27/21 00:03:31,-11
05/27/21 00:04:31,-30
05/27/21 00:05:31,0
05/27/21 00:06:31,7
05/27/21 00:07:32,15
05/27/21 00:08:32,21
05/27/21 00:09:32,1
05/27/21 00:10:32,-20
05/27/21 00:11:32,0
05/27/21 00:12:32,-17
05/27/21 00:13:33,-8
05/27/21 00:14:33,-3
05/27/21 00:15:37,0
05/27/21 00:16:37,-13
05/27/21 00:17:37,0
05/27/21 00:19:00,-1
05/27/21 00:20:00,0
05/27/21 00:21:00,0
05/27/21 00:22:00,0
05/27/21 00:23:00,-4
05/27/21 00:24:00,4
05/27/21 00:25:01,0
05/27/21 00:26:01,25
05/27/21 00:27:01,8
05/27/21 00:28:01,4
05/27/21 00:29:01,2
05/27/21 00:30:01,-21
05/27/21 00:31:04,-36
05/27/21 00:32:04,-21
05/27/21 00:33:04,15
05/27/21 00:34:04,21
05/27/21 00:35:04,4
05/27/21 00:36:04,-4
05/27/21 00:37:05,-61
05/27/21 00:38:05,-11
05/27/21 00:39:05,-50
05/27/21 00:40:05,-52
05/27/21 00:41:05,-7
05/27/21 00:42:05,-10
05/27/21 00:43:05,0
05/27/21 00:44:06,-1
05/27/21 00:45:06,21
05/27/21 00:46:06,5
05/27/21 00:47:06,0
05/27/21 00:48:06,-10
05/27/21 00:49:06,0
05/27/21 00:50:07,0
05/27/21 00:51:07,-3
05/27/21 00:52:07,0
05/27/21 00:53:07,9
05/27/21 00:54:07,0
05/27/21 00:55:07,0
05/27/21 00:56:07,12
05/27/21 00:57:08,0
05/27/21 00:58:08,8
05/27/21 00:59:08,0
05/27/21 01:00:08,12
05/27/21 01:01:08,19
05/27/21 01:02:10,0
05/27/21 01:03:10,2
05/27/21 01:04:10,4
05/27/21 01:05:10,-39
05/27/21 01:06:10,0
05/27/21 01:07:11,-17
05/27/21 01:08:11,-61
05/27/21 01:09:11,-13
05/27/21 01:10:11,-21
05/27/21 01:11:11,-17
05/27/21 01:12:11,-2
05/27/21 01:13:12,-8
05/27/21 01:14:12,0
05/27/21 01:15:12,-39
05/27/21 01:16:12,-4
05/27/21 01:17:13,-14
05/27/21 01:18:13,-4
05/27/21 01:19:13,-19
05/27/21 01:20:13,42
05/27/21 01:21:13,-37
05/27/21 01:22:13,-5
05/27/21 01:23:14,-2
05/27/21 01:24:14,3
05/27/21 01:25:14,-13
05/27/21 01:26:14,17
05/27/21 01:27:14,5
05/27/21 01:28:14,2
05/27/21 01:29:14,0
05/27/21 01:30:15,0
05/27/21 01:31:15,21
05/27/21 01:32:17,0
05/27/21 01:33:17,3
05/27/21 01:34:17,13
05/27/21 01:35:17,4
05/27/21 01:36:17,6
05/27/21 01:37:17,7
05/27/21 01:38:17,-15
05/27/21 01:39:18,37
05/27/21 01:40:18,4
05/27/21 01:41:18,18
05/27/21 01:42:18,-5
05/27/21 01:43:18,-1
05/27/21 01:44:18,8
05/27/21 01:45:19,-13
05/27/21 01:46:19,30
05/27/21 01:47:20,7
05/27/21 01:48:20,0
05/27/21 01:49:20,0
05/27/21 01:50:20,0
05/27/21 01:51:20,0
05/27/21 01:52:21,3
05/27/21 01:53:21,-13
05/27/21 01:54:21,-53
05/27/21 01:55:21,-8
05/27/21 01:56:21,9
05/27/21 01:57:21,-11
05/27/21 01:58:21,-11
05/27/21 01:59:22,2
05/27/21 02:00:22,5
05/27/21 02:01:22,0
05/27/21 02:02:23,0
05/27/21 02:03:23,0
05/27/21 02:04:23,0
05/27/21 02:05:23,31
05/27/21 02:06:24,-3
05/27/21 02:07:24,30
05/27/21 02:08:24,0
05/27/21 02:09:24,0
05/27/21 02:10:24,0
05/27/21 02:11:24,0
05/27/21 02:12:24,0
05/27/21 02:13:25,0
05/27/21 02:14:25,0
05/27/21 02:15:25,0
05/27/21 02:16:25,0
05/27/21 02:17:25,0
05/27/21 02:18:27,0
05/27/21 02:19:27,0
05/27/21 02:20:27,0
05/27/21 02:21:27,0
05/27/21 02:22:28,0
05/27/21 02:23:28,0
05/27/21 02:24:28,0
05/27/21 02:25:28,0
05/27/21 02:26:28,0
05/27/21 02:27:28,0
05/27/21 02:28:28,0
05/27/21 02:29:29,0
05/27/21 02:30:29,0
05/27/21 02:31:29,0
05/27/21 02:32:29,0
05/27/21 02:33:30,0
05/27/21 02:34:30,0
05/27/21 02:35:30,-73
05/27/21 02:36:30,4
05/27/21 02:37:30,1
05/27/21 02:38:31,-22
05/27/21 02:39:31,-2
05/27/21 02:40:31,-8
05/27/21 02:41:31,-2
05/27/21 02:42:31,14
05/27/21 02:43:31,-11
05/27/21 02:44:32,0
05/27/21 02:45:32,0
05/27/21 02:46:32,0
05/27/21 02:47:32,26
05/27/21 02:48:33,0
05/27/21 02:49:33,-1
05/27/21 02:50:34,55
05/27/21 02:51:34,-2
05/27/21 02:52:34,12
05/27/21 02:53:34,0
05/27/21 02:54:34,-26
05/27/21 02:55:34,4
05/27/21 02:56:35,0
05/27/21 02:57:35,42
05/27/21 02:58:35,-18
05/27/21 02:59:35,0
05/27/21 03:00:35,-23
05/27/21 03:01:35,14
05/27/21 03:02:35,0
05/27/21 03:03:38,20
05/27/21 03:04:38,-4
05/27/21 03:05:38,-19
05/27/21 03:06:38,-7
05/27/21 03:07:38,0
05/27/21 03:08:38,18
05/27/21 03:09:38,0
05/27/21 03:10:39,3
05/27/21 03:11:39,-28
05/27/21 03:12:39,-54
05/27/21 03:13:39,-43
05/27/21 03:14:39,0
05/27/21 03:15:39,-5
05/27/21 03:16:39,-6
05/27/21 03:17:40,-3
05/27/21 03:18:41,-12
05/27/21 03:19:41,-6
05/27/21 03:20:41,26
05/27/21 03:21:42,0
05/27/21 03:22:42,24
05/27/21 03:23:42,11
05/27/21 03:24:42,0
05/27/21 03:25:42,0
