timestamp,bucket_values
2021-07-01T07:49:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.006, 0.005, 0.01, 0.028, 0.072, 0.112, 0.142, 0.157, 0.149, 0.122, 0.084, 0.055, 0.03, 0.017, 0.006, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-02T08:08:00,"[0.0, 0.0, 0.0, 0.0, 0.003, 0.013, 0.081, 0.197, 0.083, 0.101, 0.122, 0.11, 0.08, 0.061, 0.049, 0.036, 0.028, 0.018, 0.011, 0.004, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-03T09:14:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.006, 0.006, 0.015, 0.053, 0.115, 0.173, 0.209, 0.169, 0.112, 0.064, 0.039, 0.022, 0.008, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-04T08:51:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.007, 0.024, 0.029, 0.045, 0.093, 0.124, 0.117, 0.126, 0.133, 0.109, 0.084, 0.063, 0.028, 0.01, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-05T08:49:00,"[0.0, 0.0, 0.0, 0.0, 0.004, 0.011, 0.101, 0.15, 0.073, 0.129, 0.183, 0.153, 0.086, 0.048, 0.03, 0.018, 0.01, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-06T08:43:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.005, 0.01, 0.043, 0.087, 0.068, 0.079, 0.105, 0.125, 0.139, 0.133, 0.1, 0.059, 0.031, 0.013, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-07T07:23:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.042, 0.095, 0.064, 0.038, 0.067, 0.112, 0.126, 0.145, 0.13, 0.095, 0.049, 0.022, 0.008, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-08T07:15:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.005, 0.022, 0.052, 0.04, 0.061, 0.107, 0.129, 0.16, 0.154, 0.127, 0.08, 0.039, 0.014, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-09T07:52:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.006, 0.008, 0.035, 0.121, 0.147, 0.178, 0.191, 0.139, 0.084, 0.048, 0.025, 0.011, 0.003, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-10T09:04:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.01, 0.016, 0.021, 0.038, 0.065, 0.094, 0.102, 0.121, 0.14, 0.136, 0.115, 0.072, 0.036, 0.017, 0.006, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-11T07:32:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.006, 0.012, 0.03, 0.053, 0.086, 0.118, 0.13, 0.143, 0.13, 0.117, 0.087, 0.049, 0.021, 0.009, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-12T08:57:30,"[0.0, 0.0, 0.0, 0.001, 0.003, 0.004, 0.007, 0.015, 0.024, 0.051, 0.096, 0.155, 0.183, 0.176, 0.13, 0.08, 0.051, 0.018, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-13T08:49:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.004, 0.015, 0.015, 0.05, 0.102, 0.12, 0.128, 0.153, 0.153, 0.128, 0.078, 0.035, 0.011, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-14T08:56:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.005, 0.007, 0.027, 0.115, 0.183, 0.146, 0.142, 0.13, 0.095, 0.066, 0.039, 0.018, 0.012, 0.008, 0.005, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-15T08:50:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.005, 0.004, 0.006, 0.011, 0.015, 0.03, 0.089, 0.169, 0.212, 0.21, 0.151, 0.061, 0.024, 0.008, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-16T08:20:00,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.008, 0.03, 0.115, 0.131, 0.163, 0.138, 0.124, 0.099, 0.066, 0.048, 0.034, 0.025, 0.011, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-07-17T10:17:00,"[0.0, 0.0, 0.0, 0.0, 0.005, 0.009, 0.019, 0.099, 0.248, 0.315, 0.165, 0.074, 0.03, 0.018, 0.011, 0.006, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
